,AI.PA,AIR.PA,BN.PA,BNP.PA,CS.PA,DG.PA,DSY.PA,EL.PA,KER.PA,MC.PA,OR.PA,RI.PA,RMS.PA,SAF.PA,SAN.PA,SGO.PA,STLA.PA,SU.PA,TTE.PA,VIV.PA
2018-09-07,0.006165489501421452,0.005355766165458339,-0.003521873733946373,-0.01064680606232916,-0.00799909340213976,-0.001992078132845905,-0.00038918967720071474,0.005033554841533198,0.03898819515685789,0.0123939266227991,0.009837370104444873,0.008625546992436669,0.0030212194481060734,0.011565761373893082,0.009639355661366042,-0.013899807248193776,0.0,-0.05048671370035424,-0.0007690271606472078,0.01382515785363441
2018-09-10,-0.0014193946981387528,-0.0003815425179776362,0.0013795715692827165,0.0031664353635843107,0.008681737176634199,0.008191725895074697,0.00504754168880713,0.009162900269124152,0.0029027323613802637,0.0022848904128295877,0.004507942261585797,0.0029829191381455585,0.006764354059013442,-0.014586312568102392,0.007100898966100411,0.006482534900872936,0.0,0.016910448887967174,-0.0021180446436083224,-0.0004577811368384044
2018-09-11,0.0,0.018529543539207643,-0.006917204525510264,0.00039510979241957954,-0.005931989148934669,0.0007413513050215843,-0.003103180323227623,-0.0016597260925559883,-0.018679484675841903,-0.0029889273625390163,0.009945382518033728,0.0,-0.00037462485794526995,0.015437725761055128,-0.0029981111165284812,0.005602954844157391,0.0,0.02499006538321508,0.02098109516718109,0.001372715199072851
2018-09-12,0.0014193946981386923,-0.0005622148395597171,0.0,-0.0005927609405966709,0.003426564460383855,-0.002473374334537075,0.010434894984410904,0.009917411435586774,0.0337273187067645,0.02366558208526021,0.006903350272601629,0.00371609486472899,0.038586452335846934,0.0025499635395356108,0.018123352308046813,0.005988463355428899,0.0,0.01680710886376664,0.01684489616251542,0.007289318920505675
2018-09-13,0.0009452323125783721,-0.009984048055140015,0.0070704117901713775,0.013544273113483626,0.005231522363514383,-0.0032246354717094306,-0.007719095221688404,-0.005773186741973286,-0.01929316245708903,-0.001893408884485754,-0.0004915512756420075,-0.00446101932014931,-0.021866760966386498,0.00042431931075468277,0.014239374112089564,0.0011102115179361632,0.0,-0.010286712096110793,-0.006517149764931869,-0.006375308330803013
2018-09-14,0.0065913802399789724,0.0052869984206132415,0.0016833825736181514,0.004862403736458654,0.004752732222292978,0.0027292067435206488,0.016903995998998035,-0.0012414777090648697,0.0013425960647861826,0.007381352984817748,-0.007401958518605771,0.00446101932014944,-0.0022132289513092348,0.0016956729484180416,-0.00066093522417392,0.0020783038650074494,0.0,0.012623103839182654,0.006145877114443062,-0.015654102505571747
2018-09-17,0.00327942585130025,0.0009412339849295277,-0.009370997202079682,0.005610944542048433,0.0038309493375880094,-0.0017358886813987119,-0.005347582950434588,0.004956627065730454,-0.013961073690624588,-0.014470578798161078,-0.001983113701664237,-0.0029718384413738794,0.003685960844771962,-0.00211999225917271,-0.007032455099771055,0.008956332953194248,0.0,0.008134925552481569,-0.0027889118440235306,0.0
2018-09-18,-0.0018726776098014263,-0.012876532533470495,0.0013880828813398142,0.0011569140875357068,0.007841471501135327,0.015026778429613846,0.011045589615461253,0.007798148047762279,0.0006800131671295417,-0.0001734934250555646,-0.0034799783711666286,-0.00037200218452252104,0.012068233311835418,-0.0012741689807313583,-0.0026666275567387137,0.008604809660965284,0.0,-0.006386123759509771,0.005014412237996903,0.01336737671679601
2018-09-19,0.011647002460100907,0.013440790590015595,-0.00866874734783212,0.020410812724368798,0.01725703812728206,-0.012052825041919065,-0.01603700208005499,-0.0008180458821482882,0.0038448814311601025,0.007434957302111738,-0.0047422873177555185,-0.005972418084442622,-0.01317255074307287,0.016020591288357096,0.002932960567211837,0.009744308076107855,0.0,0.00725376744763283,0.0012959308601658444,0.002743461540416702
2018-09-20,0.006923639408515356,0.0009397470315172649,0.025632562897233983,0.025171502991302615,0.00960493373711112,0.012786022645964243,-0.02731339718233793,-0.0012281999208969595,0.01412101886197926,0.019616833746059503,0.012678791559784873,0.005600163845610058,0.013536011042142323,0.012055826165366117,-0.00600849093694944,0.030114323019226556,0.0,0.010925958622029577,0.012685204305282196,-0.0022856804035783084
2018-09-21,0.014612103335640675,0.0031886359557248864,0.011451114257062269,0.004042589219162438,0.014236648260466292,0.013830129276299544,0.008664855724113798,0.007753533529287986,0.011947098770190507,0.03273535132042519,0.018115610253153128,0.01624848837238417,0.01729145275311709,-0.007049570714480432,-0.0022792551401370604,0.007551160076341367,0.0,0.007123551744996185,0.002918642034210697,0.00956505061586766
2018-09-24,-0.0013608032043625612,-0.007707526360828631,-0.014638475076807959,0.0009165622762106341,-0.0012858458434765656,-0.017501692024211684,0.0015674342868149675,-0.0004066115313451964,0.003950812357717606,-0.0004905368162900584,-0.011713209259622553,-0.002934660121778536,0.0003571008873008431,-0.005424603510695262,-0.008627707697468711,-0.019382425994749302,0.0,-0.01084798136345527,0.011410016961475674,0.009025366513566195
2018-09-25,-0.0022722125251108576,-0.00852844649709823,0.0071196426627806965,0.0018304686085907592,0.006839088177902897,0.007329694420814399,0.00896515597651134,0.010517921135665808,0.008506963555719824,-0.005905588989408907,0.0004908275117710617,0.006590971324888979,-0.002144411461396563,0.00833338155914424,0.010103136975937527,-0.01371443391307626,0.0,-0.003162302788636142,0.0010799384395109792,-0.0022487594446685935
2018-09-26,0.022493082775969838,0.03184387289459076,0.010062383890445961,-0.0009148154774379336,0.009328001195851162,0.00048665474292545157,-0.0003881323063894229,0.017946643190836824,-0.0032633554902726995,0.006723049968540613,0.008306898173387114,0.010528301746535641,0.0021444114613965734,0.003727458893760986,0.011725614189359067,0.00013408588502279066,0.0,0.0023008876990544547,-0.0028823627729382298,0.014305188236161748
